id,airport_code,year,scheduled,nonscheduled,other,total,scraped_at
1,BTS,2019,1886510,397390,6342,2290242,2026-08-20 17:06:26.798525+00:00
2,BTS,2020,368659,33266,3172,405097,2026-08-20 17:06:26.798525+00:00
3,BTS,2021,319589,156473,4090,480152,2026-08-20 17:06:26.798525+00:00
4,BTS,2022,1000831,398871,6582,1406284,2026-08-20 17:06:26.798525+00:00
5,BTS,2023,1257640,546574,9446,1813660,2026-08-20 17:06:26.798525+00:00
6,BTS,2024,1307589,631581,8838,1948008,2026-08-20 17:06:26.798525+00:00
7,BTS,2025,1754497,674274,9444,2438215,2026-08-20 17:06:26.798525+00:00
